method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,delay_A,delay_N,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
Random Search,20260607,2,5,6,rs_r02_005_tl35_dt206_ge47_qr60_tau90,35,206,47,0.6,0.9,196.92,81.91,186.46,110.26,0.00,PASS,,recovery_detected,True,False,0,253,0,27,,,,,,,,,,,,,,,,
Random Search,20260607,2,6,6,rs_r02_006_tl89_dt204_ge2_qr49_tau75,89,204,2,0.49,0.75,327.92,102.55,307.43,110.26,0.00,PASS,,recovery_detected,True,False,0,793,0,105,,,,,,,,,,,,,,,,
Random Search,20260607,3,1,6,rs_r03_001_tl82_dt158_ge16_qr6_tau78,82,158,16,0.06,0.78,355.92,86.19,331.40,110.26,0.00,PASS,,recovery_detected,True,False,0,388,1,61,,,,,,,,,,,,,,,,
Random Search,20260607,3,2,6,rs_r03_002_tl41_dt37_ge24_qr52_tau88,41,37,24,0.52,0.88,139.92,86.36,135.05,110.26,0.00,PASS,,recovery_detected,True,False,0,1620,0,32,,,,,,,,,,,,,,,,
Random Search,20260607,3,3,6,rs_r03_003_tl6_dt59_ge9_qr74_tau71,6,59,9,0.74,0.71,137.92,74.69,132.17,110.26,0.00,PASS,,recovery_detected,True,False,0,1244,0,45,,,,,,,,,,,,,,,,
Random Search,20260607,3,4,6,rs_r03_004_tl44_dt244_ge32_qr98_tau82,44,244,32,0.98,0.82,178.92,77.38,169.69,110.26,0.00,PASS,,recovery_detected,True,False,0,212,0,33,,,,,,,,,,,,,,,,
Random Search,20260607,3,5,6,rs_r03_005_tl29_dt166_ge20_qr24_tau83,29,166,20,0.24,0.83,142.92,90.70,138.17,110.26,0.00,PASS,,recovery_detected,True,False,0,364,1,35,,,,,,,,,,,,,,,,
Random Search,20260607,3,6,6,rs_r03_006_tl76_dt49_ge7_qr96_tau84,76,49,7,0.96,0.84,249.92,97.43,236.06,110.26,0.00,PASS,,recovery_detected,True,False,0,1404,0,64,,,,,,,,,,,,,,,,
Random Search,20260607,4,1,6,rs_r04_001_tl100_dt73_ge16_qr56_tau88,100,73,16,0.56,0.88,390.92,83.20,362.95,110.26,0.00,PASS,,recovery_detected,True,False,0,1047,0,62,,,,,,,,,,,,,,,,
Random Search,20260607,4,2,6,rs_r04_002_tl79_dt73_ge27_qr72_tau76,79,73,27,0.72,0.76,280.92,90.41,263.60,110.26,0.00,PASS,,recovery_timeout,True,False,0,931,0,38,,,,,,,,,,,,,,,,
Random Search,20260607,4,3,6,rs_r04_003_tl49_dt80_ge2_qr65_tau75,49,80,2,0.65,0.75,314.92,93.65,294.80,110.26,0.00,PASS,,recovery_detected,True,False,0,1265,0,96,,,,,,,,,,,,,,,,
Random Search,20260607,4,4,6,rs_r04_004_tl102_dt25_ge35_qr32_tau88,102,25,35,0.32,0.88,138.92,77.81,133.36,110.26,0.00,PASS,,recovery_detected,True,False,0,2267,0,19,,,,,,,,,,,,,,,,
Random Search,20260607,4,5,6,rs_r04_005_tl60_dt232_ge34_qr18_tau80,60,232,34,0.18,0.8,319.92,88.95,298.92,110.26,0.00,PASS,,recovery_detected,True,False,0,266,1,39,,,,,,,,,,,,,,,,
Random Search,20260607,4,6,6,rs_r04_006_tl11_dt218_ge44_qr0_tau72,11,218,44,0.0,0.72,195.92,82.57,185.61,110.26,0.00,PASS,,recovery_detected,True,False,0,616,1,27,,,,,,,,,,,,,,,,
Random Search,20260607,5,1,6,rs_r05_001_tl76_dt212_ge40_qr30_tau72,76,212,40,0.3,0.72,329.92,98.27,308.86,110.26,0.00,PASS,,recovery_detected,True,False,0,276,1,37,,,,,,,,,,,,,,,,
Random Search,20260607,5,2,6,rs_r05_002_tl122_dt114_ge19_qr92_tau72,122,114,19,0.92,0.72,394.92,86.14,366.85,110.26,0.00,PASS,,recovery_detected,True,False,0,667,0,63,,,,,,,,,,,,,,,,
Random Search,20260607,5,3,6,rs_r05_003_tl22_dt124_ge43_qr63_tau86,22,124,43,0.63,0.86,256.92,80.52,240.88,110.26,0.00,PASS,,recovery_detected,True,False,0,259,0,29,,,,,,,,,,,,,,,,
Random Search,20260607,5,4,6,rs_r05_004_tl6_dt161_ge33_qr26_tau82,6,161,33,0.26,0.82,167.92,91.80,161.00,110.26,0.00,PASS,,recovery_detected,True,False,0,784,1,32,,,,,,,,,,,,,,,,
Random Search,20260607,5,5,6,rs_r05_005_tl53_dt56_ge20_qr11_tau83,53,56,20,0.11,0.83,166.92,82.85,159.28,110.26,0.00,PASS,,recovery_detected,True,False,0,687,1,40,,,,,,,,,,,,,,,,
Random Search,20260607,5,6,6,rs_r05_006_tl75_dt157_ge11_qr44_tau86,75,157,11,0.44,0.86,320.92,82.28,299.23,110.26,0.00,PASS,,recovery_detected,True,False,0,575,0,67,,,,,,,,,,,,,,,,
Random Search,20260607,6,1,6,rs_r06_001_tl46_dt192_ge42_qr0_tau71,46,192,42,0.0,0.71,296.92,81.08,277.30,110.26,0.00,PASS,,recovery_detected,True,False,0,376,1,36,,,,,,,,,,,,,,,,
Random Search,20260607,6,2,6,rs_r06_002_tl111_dt123_ge48_qr58_tau90,111,123,48,0.58,0.9,303.92,80.26,283.59,110.26,0.00,PASS,,recovery_detected,True,False,0,366,0,32,,,,,,,,,,,,,,,,
Random Search,20260607,6,3,6,rs_r06_003_tl5_dt81_ge41_qr17_tau85,5,81,41,0.17,0.85,150.92,94.01,145.75,110.26,0.00,PASS,,recovery_detected,True,False,0,825,1,23,,,,,,,,,,,,,,,,
Random Search,20260607,6,4,6,rs_r06_004_tl28_dt35_ge2_qr93_tau70,28,35,2,0.93,0.7,137.92,77.20,132.40,110.26,0.00,PASS,,recovery_detected,True,False,0,1753,0,49,,,,,,,,,,,,,,,,
Random Search,20260607,6,5,6,rs_r06_005_tl68_dt113_ge20_qr57_tau72,68,113,20,0.57,0.72,273.92,97.81,257.91,110.26,0.00,PASS,,recovery_detected,True,False,0,363,0,51,,,,,,,,,,,,,,,,
Random Search,20260607,6,6,6,rs_r06_006_tl27_dt5_ge14_qr40_tau87,27,5,14,0.4,0.87,266.92,79.29,249.86,110.26,0.00,PASS,,recovery_detected,True,False,0,4848,0,20,,,,,,,,,,,,,,,,
Random Search,20260607,7,1,6,rs_r07_001_tl76_dt228_ge7_qr1_tau77,76,228,7,0.01,0.77,366.92,83.15,341.12,110.26,0.00,PASS,,recovery_detected,True,False,0,916,1,81,,,,,,,,,,,,,,,,
Random Search,20260607,7,2,6,rs_r07_002_tl10_dt107_ge8_qr98_tau73,10,107,8,0.98,0.73,297.92,103.02,280.20,110.26,0.00,PASS,,recovery_detected,True,False,0,1124,0,71,,,,,,,,,,,,,,,,
Random Search,20260607,7,3,6,rs_r07_003_tl50_dt49_ge36_qr85_tau84,50,49,36,0.85,0.84,194.92,75.02,184.02,110.26,0.00,PASS,,recovery_detected,True,False,0,1167,0,30,,,,,,,,,,,,,,,,
Random Search,20260607,7,4,6,rs_r07_004_tl81_dt31_ge26_qr88_tau71,81,31,26,0.88,0.71,137.92,88.13,133.39,110.26,0.00,PASS,,recovery_detected,True,False,0,1834,0,28,,,,,,,,,,,,,,,,
Random Search,20260607,7,5,6,rs_r07_005_tl69_dt127_ge27_qr15_tau85,69,127,27,0.15,0.85,288.92,84.66,270.35,110.26,0.00,PASS,,recovery_detected,True,False,0,305,1,43,,,,,,,,,,,,,,,,
Random Search,20260607,7,6,6,rs_r07_006_tl64_dt47_ge9_qr93_tau77,64,47,9,0.93,0.77,291.92,103.02,274.75,110.26,0.00,PASS,,recovery_detected,True,False,0,1845,0,61,,,,,,,,,,,,,,,,
Random Search,20260607,8,1,6,rs_r08_001_tl19_dt205_ge50_qr83_tau76,19,205,50,0.83,0.76,313.92,75.36,292.23,110.26,0.00,PASS,,recovery_detected,True,False,0,290,0,31,,,,,,,,,,,,,,,,
Random Search,20260607,8,2,6,rs_r08_002_tl116_dt237_ge12_qr57_tau90,116,237,12,0.57,0.9,352.92,89.36,328.96,110.26,0.00,PASS,,recovery_detected,True,False,0,470,0,68,,,,,,,,,,,,,,,,
Random Search,20260607,8,3,6,rs_r08_003_tl62_dt173_ge48_qr37_tau83,62,173,48,0.37,0.83,303.92,80.26,283.59,110.26,0.00,PASS,,recovery_detected,True,False,0,366,0,32,,,,,,,,,,,,,,,,
Random Search,20260607,8,4,6,rs_r08_004_tl74_dt50_ge33_qr41_tau84,74,50,33,0.41,0.84,238.92,75.86,224.10,110.26,0.00,PASS,,recovery_detected,True,False,0,1265,0,31,,,,,,,,,,,,,,,,
Random Search,20260607,8,5,6,rs_r08_005_tl40_dt196_ge41_qr62_tau90,40,196,41,0.62,0.9,241.92,77.60,226.98,110.26,0.00,PASS,,recovery_detected,True,False,0,238,0,32,,,,,,,,,,,,,,,,
Random Search,20260607,8,6,6,rs_r08_006_tl17_dt241_ge43_qr2_tau84,17,241,43,0.02,0.84,90.92,84.55,90.34,90.34,0.00,PASS,,recovery_detected,True,False,0,187,1,24,,,,,,,,,,,,,,,,
Random Search,20260607,9,1,6,rs_r09_001_tl12_dt225_ge30_qr46_tau88,12,225,30,0.46,0.88,144.92,79.72,138.99,90.34,0.00,PASS,,recovery_detected,True,False,0,567,0,27,,,,,,,,,,,,,,,,
Random Search,20260607,9,2,6,rs_r09_002_tl90_dt113_ge22_qr30_tau84,90,113,22,0.3,0.84,170.92,84.52,163.07,90.34,0.00,PASS,,recovery_detected,True,False,0,226,1,38,,,,,,,,,,,,,,,,
Random Search,20260607,9,3,6,rs_r09_003_tl71_dt81_ge10_qr85_tau83,71,81,10,0.85,0.83,441.92,94.90,410.37,90.34,0.00,PASS,,recovery_detected,True,False,0,867,0,87,,,,,,,,,,,,,,,,
Random Search,20260607,9,4,6,rs_r09_004_tl113_dt238_ge44_qr78_tau80,113,238,44,0.78,0.8,248.92,80.57,233.62,90.34,0.00,PASS,,recovery_detected,True,False,0,173,0,29,,,,,,,,,,,,,,,,
Random Search,20260607,9,5,6,rs_r09_005_tl81_dt108_ge22_qr65_tau81,81,108,22,0.65,0.81,307.92,97.10,288.75,90.34,0.00,PASS,,recovery_detected,True,False,0,368,0,49,,,,,,,,,,,,,,,,
Random Search,20260607,9,6,6,rs_r09_006_tl40_dt220_ge2_qr31_tau85,40,220,2,0.31,0.85,258.92,89.98,243.56,90.34,0.00,PASS,,recovery_detected,True,False,0,987,0,87,,,,,,,,,,,,,,,,
Random Search,20260607,10,1,6,rs_r10_001_tl6_dt162_ge24_qr64_tau72,6,162,24,0.64,0.72,289.92,82.66,271.08,90.34,0.00,PASS,,recovery_detected,True,False,0,904,0,46,,,,,,,,,,,,,,,,
Random Search,20260607,10,2,6,rs_r10_002_tl32_dt156_ge7_qr55_tau71,32,156,7,0.55,0.71,284.92,88.22,267.04,90.34,0.00,PASS,,recovery_detected,True,False,0,934,0,73,,,,,,,,,,,,,,,,
Random Search,20260607,10,3,6,rs_r10_003_tl27_dt56_ge2_qr52_tau87,27,56,2,0.52,0.87,290.92,90.46,272.70,90.34,0.00,PASS,,recovery_detected,True,False,0,1689,0,87,,,,,,,,,,,,,,,,
Random Search,20260607,10,4,6,rs_r10_004_tl32_dt39_ge7_qr70_tau74,32,39,7,0.7,0.74,197.92,77.95,187.01,90.34,0.00,PASS,,recovery_detected,True,False,0,1787,0,54,,,,,,,,,,,,,,,,
Random Search,20260607,10,5,6,rs_r10_005_tl38_dt207_ge10_qr72_tau70,38,207,10,0.72,0.7,363.92,90.76,339.09,90.34,0.00,PASS,,recovery_detected,True,False,0,670,0,76,,,,,,,,,,,,,,,,
Random Search,20260607,10,6,6,rs_r10_006_tl50_dt113_ge21_qr41_tau71,50,113,21,0.41,0.71,413.92,85.83,384.09,90.34,0.00,PASS,,recovery_detected,True,False,0,559,0,60,,,,,,,,,,,,,,,,
Random Search,20260607,11,1,6,rs_r11_001_tl95_dt93_ge32_qr51_tau74,95,93,32,0.51,0.74,316.92,91.59,296.44,90.34,0.00,PASS,,recovery_detected,True,False,0,272,0,40,,,,,,,,,,,,,,,,
Random Search,20260607,11,2,6,rs_r11_002_tl121_dt211_ge14_qr93_tau86,121,211,14,0.93,0.86,319.92,82.27,298.32,90.34,0.00,PASS,,recovery_detected,True,False,0,574,0,61,,,,,,,,,,,,,,,,
Random Search,20260607,11,3,6,rs_r11_003_tl97_dt180_ge5_qr35_tau89,97,180,5,0.35,0.89,290.92,100.47,273.61,90.34,0.00,PASS,,recovery_detected,True,False,0,657,0,83,,,,,,,,,,,,,,,,
Random Search,20260607,11,4,6,rs_r11_004_tl10_dt98_ge38_qr61_tau70,10,98,38,0.61,0.7,142.92,71.92,136.47,90.34,0.00,PASS,,recovery_detected,True,False,0,560,0,24,,,,,,,,,,,,,,,,
Random Search,20260607,11,5,6,rs_r11_005_tl79_dt183_ge0_qr85_tau84,79,183,0,0.85,0.84,222.92,89.47,210.79,90.34,0.00,PASS,,recovery_detected,True,False,0,679,0,97,,,,,,,,,,,,,,,,
Random Search,20260607,11,6,6,rs_r11_006_tl92_dt203_ge5_qr75_tau86,92,203,5,0.75,0.86,290.92,100.47,273.61,90.34,0.00,PASS,,recovery_detected,True,False,0,658,0,83,,,,,,,,,,,,,,,,
Random Search,20260607,12,1,6,rs_r12_001_tl14_dt5_ge40_qr20_tau81,14,5,40,0.2,0.81,161.92,93.25,155.68,90.34,0.00,PASS,,recovery_detected,True,False,0,3229,1,18,,,,,,,,,,,,,,,,
Random Search,20260607,12,2,6,rs_r12_002_tl68_dt65_ge26_qr14_tau83,68,65,26,0.14,0.83,262.92,85.43,246.78,90.34,0.00,PASS,,recovery_detected,True,False,0,606,1,43,,,,,,,,,,,,,,,,
Random Search,20260607,12,3,6,rs_r12_003_tl91_dt242_ge8_qr42_tau81,91,242,8,0.42,0.81,316.92,89.86,296.28,90.34,0.00,PASS,,recovery_detected,True,False,0,557,0,76,,,,,,,,,,,,,,,,
Random Search,20260607,12,4,6,rs_r12_004_tl6_dt98_ge12_qr100_tau90,6,98,12,1.0,0.9,157.92,81.52,150.97,90.34,0.00,PASS,,recovery_detected,True,False,0,832,0,47,,,,,,,,,,,,,,,,
Random Search,20260607,12,5,6,rs_r12_005_tl92_dt218_ge48_qr37_tau74,92,218,48,0.37,0.74,303.92,80.26,283.59,90.34,0.00,PASS,,recovery_detected,True,False,0,366,0,32,,,,,,,,,,,,,,,,
Random Search,20260607,12,6,6,rs_r12_006_tl51_dt117_ge1_qr40_tau78,51,117,1,0.4,0.78,308.92,91.39,289.14,90.34,0.00,PASS,,recovery_detected,True,False,0,1059,0,102,,,,,,,,,,,,,,,,
Random Search,20260607,13,1,6,rs_r13_001_tl13_dt102_ge39_qr42_tau70,13,102,39,0.42,0.7,354.92,89.92,330.83,90.34,0.00,PASS,,recovery_detected,True,False,0,471,0,37,,,,,,,,,,,,,,,,
Random Search,20260607,13,2,6,rs_r13_002_tl1_dt149_ge45_qr76_tau90,1,149,45,0.76,0.9,139.92,91.71,135.54,90.34,0.00,PASS,,recovery_detected,True,False,0,620,0,25,,,,,,,,,,,,,,,,
Random Search,20260607,13,3,6,rs_r13_003_tl10_dt62_ge40_qr52_tau86,10,62,40,0.52,0.86,189.92,76.81,179.64,90.34,0.00,PASS,,recovery_detected,True,False,0,1091,0,29,,,,,,,,,,,,,,,,
Random Search,20260607,13,4,6,rs_r13_004_tl121_dt19_ge35_qr37_tau79,121,19,35,0.37,0.79,144.92,79.19,138.94,90.34,0.00,PASS,,recovery_detected,True,False,0,2722,0,19,,,,,,,,,,,,,,,,
Random Search,20260607,13,5,6,rs_r13_005_tl82_dt160_ge24_qr83_tau85,82,160,24,0.83,0.85,316.92,76.38,295.05,90.34,0.00,PASS,,recovery_detected,True,False,0,371,0,46,,,,,,,,,,,,,,,,
Random Search,20260607,13,6,6,rs_r13_006_tl62_dt195_ge20_qr33_tau87,62,195,20,0.33,0.87,286.92,89.78,269.00,90.34,0.00,PASS,,recovery_detected,True,False,0,480,0,47,,,,,,,,,,,,,,,,
Random Search,20260607,14,1,6,rs_r14_001_tl108_dt73_ge7_qr17_tau85,108,73,7,0.17,0.85,364.92,98.65,340.71,90.34,0.00,PASS,,recovery_detected,True,False,0,1120,1,84,,,,,,,,,,,,,,,,
Random Search,20260607,14,2,6,rs_r14_002_tl62_dt200_ge28_qr78_tau76,62,200,28,0.78,0.76,290.92,74.86,271.28,90.34,0.00,PASS,,recovery_detected,True,False,0,351,0,40,,,,,,,,,,,,,,,,
Random Search,20260607,14,3,6,rs_r14_003_tl118_dt166_ge34_qr52_tau78,118,166,34,0.52,0.78,364.92,87.44,339.69,90.34,0.00,PASS,,recovery_detected,True,False,0,310,0,42,,,,,,,,,,,,,,,,
Random Search,20260607,14,4,6,rs_r14_004_tl4_dt172_ge19_qr58_tau89,4,172,19,0.58,0.89,240.92,88.86,227.10,90.34,0.00,PASS,,recovery_detected,True,False,0,868,0,46,,,,,,,,,,,,,,,,
Random Search,20260607,14,5,6,rs_r14_005_tl5_dt225_ge46_qr11_tau72,5,225,46,0.11,0.72,165.92,91.82,159.18,90.34,0.00,PASS,,recovery_detected,True,False,0,366,1,26,,,,,,,,,,,,,,,,
Random Search,20260607,14,6,6,rs_r14_006_tl118_dt215_ge18_qr12_tau75,118,215,18,0.12,0.75,393.92,84.25,365.77,90.34,0.00,PASS,,recovery_detected,True,False,0,547,1,61,,,,,,,,,,,,,,,,
Random Search,20260607,15,1,6,rs_r15_001_tl62_dt206_ge23_qr72_tau72,62,206,23,0.72,0.72,193.92,77.51,183.34,90.34,0.00,PASS,,recovery_detected,True,False,0,283,0,37,,,,,,,,,,,,,,,,
Random Search,20260607,15,2,6,rs_r15_002_tl27_dt202_ge9_qr96_tau77,27,202,9,0.96,0.77,332.92,96.31,311.41,90.34,0.00,PASS,,recovery_detected,True,False,0,776,0,73,,,,,,,,,,,,,,,,
Random Search,20260607,15,3,6,rs_r15_003_tl120_dt5_ge13_qr18_tau72,120,5,13,0.18,0.72,160.92,93.17,154.76,90.34,0.00,PASS,,recovery_detected,True,False,0,3230,1,20,,,,,,,,,,,,,,,,
Random Search,20260607,15,4,6,rs_r15_004_tl113_dt244_ge32_qr96_tau75,113,244,32,0.96,0.75,264.92,95.88,249.55,90.34,0.00,PASS,,recovery_detected,True,False,0,292,0,36,,,,,,,,,,,,,,,,
Random Search,20260607,15,5,6,rs_r15_005_tl20_dt207_ge48_qr9_tau75,20,207,48,0.09,0.75,188.92,83.55,179.34,90.34,0.00,PASS,,recovery_detected,True,False,0,226,1,27,,,,,,,,,,,,,,,,
Random Search,20260607,15,6,6,rs_r15_006_tl68_dt217_ge48_qr89_tau72,68,217,48,0.89,0.72,303.92,80.26,283.59,90.34,0.00,PASS,,recovery_detected,True,False,0,366,0,32,,,,,,,,,,,,,,,,
Random Search,20260607,16,1,6,rs_r16_001_tl110_dt106_ge45_qr45_tau75,110,106,45,0.45,0.75,192.92,77.83,182.46,90.34,0.00,PASS,,recovery_detected,True,False,0,272,0,27,,,,,,,,,,,,,,,,
Random Search,20260607,16,2,6,rs_r16_002_tl60_dt214_ge18_qr48_tau87,60,214,18,0.48,0.87,404.92,82.18,375.58,90.34,0.00,PASS,,recovery_detected,True,False,0,431,0,63,,,,,,,,,,,,,,,,
Random Search,20260607,16,3,6,rs_r16_003_tl53_dt219_ge13_qr38_tau86,53,219,13,0.38,0.86,309.92,89.75,289.90,90.34,0.00,PASS,,recovery_detected,True,False,0,583,0,62,,,,,,,,,,,,,,,,
Random Search,20260607,16,4,6,rs_r16_004_tl39_dt243_ge38_qr97_tau85,39,243,38,0.97,0.85,274.92,87.44,257.88,90.34,0.00,PASS,,recovery_detected,True,False,0,331,0,36,,,,,,,,,,,,,,,,
Random Search,20260607,16,5,6,rs_r16_005_tl104_dt200_ge33_qr49_tau72,104,200,33,0.49,0.72,286.92,89.91,269.01,90.34,0.00,PASS,,recovery_detected,True,False,0,335,0,35,,,,,,,,,,,,,,,,
Random Search,20260607,16,6,6,rs_r16_006_tl35_dt190_ge2_qr74_tau87,35,190,2,0.74,0.87,258.92,89.98,243.56,90.34,0.00,PASS,,recovery_detected,True,False,0,976,0,87,,,,,,,,,,,,,,,,
Random Search,20260607,17,1,6,rs_r17_001_tl37_dt105_ge47_qr11_tau70,37,105,47,0.11,0.7,270.92,82.38,253.78,90.34,0.00,PASS,,recovery_detected,True,False,0,202,1,29,,,,,,,,,,,,,,,,
Random Search,20260607,17,2,6,rs_r17_002_tl46_dt57_ge41_qr64_tau73,46,57,41,0.64,0.73,171.92,78.19,163.40,90.34,0.00,PASS,,recovery_detected,True,False,0,784,0,27,,,,,,,,,,,,,,,,
Random Search,20260607,17,3,6,rs_r17_003_tl52_dt157_ge4_qr3_tau81,52,157,4,0.03,0.81,379.92,88.15,353.40,90.34,0.00,PASS,,recovery_detected,True,False,0,958,1,101,,,,,,,,,,,,,,,,
Random Search,20260607,17,4,6,rs_r17_004_tl57_dt50_ge1_qr9_tau83,57,50,1,0.09,0.83,280.92,101.85,264.64,90.34,0.00,PASS,,recovery_detected,True,False,0,1873,1,87,,,,,,,,,,,,,,,,
Random Search,20260607,17,5,6,rs_r17_005_tl65_dt219_ge3_qr90_tau76,65,219,3,0.9,0.76,309.92,87.06,289.66,90.34,0.00,PASS,,recovery_detected,True,False,0,941,0,92,,,,,,,,,,,,,,,,
Random Search,20260607,17,6,6,rs_r17_006_tl17_dt48_ge49_qr42_tau82,17,48,49,0.42,0.82,187.92,88.30,178.86,90.34,0.00,PASS,,recovery_detected,True,False,0,1014,0,23,,,,,,,,,,,,,,,,
Random Search,20260607,18,1,6,rs_r18_001_tl96_dt120_ge44_qr1_tau70,96,120,44,0.01,0.7,306.92,86.00,286.84,90.34,0.00,PASS,,recovery_detected,True,False,0,395,1,31,,,,,,,,,,,,,,,,
Random Search,20260607,18,2,6,rs_r18_002_tl36_dt40_ge9_qr69_tau89,36,40,9,0.69,0.89,233.92,76.38,219.60,90.34,0.00,PASS,,recovery_detected,True,False,0,1786,0,53,,,,,,,,,,,,,,,,
Random Search,20260607,18,3,6,rs_r18_003_tl31_dt79_ge6_qr54_tau70,31,79,6,0.54,0.7,253.92,94.41,239.42,90.34,0.00,PASS,,recovery_detected,True,False,0,867,0,69,,,,,,,,,,,,,,,,
Random Search,20260607,18,4,6,rs_r18_004_tl102_dt61_ge43_qr79_tau86,102,61,43,0.79,0.86,256.92,75.75,240.45,90.34,0.00,PASS,,recovery_detected,True,False,0,806,0,29,,,,,,,,,,,,,,,,
Random Search,20260607,18,5,6,rs_r18_005_tl69_dt186_ge22_qr9_tau86,69,186,22,0.09,0.86,170.92,84.52,163.07,90.34,0.00,PASS,,recovery_detected,True,False,0,226,1,38,,,,,,,,,,,,,,,,
Random Search,20260607,18,6,6,rs_r18_006_tl85_dt106_ge9_qr33_tau88,85,106,9,0.33,0.88,326.92,88.67,305.26,90.34,0.00,PASS,,recovery_detected,True,False,0,689,0,73,,,,,,,,,,,,,,,,
Random Search,20260607,19,1,6,rs_r19_001_tl61_dt172_ge23_qr49_tau81,61,172,23,0.49,0.81,193.92,77.51,183.34,90.34,0.00,PASS,,recovery_detected,True,False,0,283,0,37,,,,,,,,,,,,,,,,
Random Search,20260607,19,2,6,rs_r19_002_tl66_dt7_ge29_qr82_tau80,66,7,29,0.82,0.8,181.92,80.09,172.66,90.34,0.00,PASS,,recovery_detected,True,False,0,3613,0,18,,,,,,,,,,,,,,,,
Random Search,20260607,19,3,6,rs_r19_003_tl56_dt99_ge47_qr11_tau70,56,99,47,0.11,0.7,234.92,83.21,221.13,90.34,0.00,PASS,,recovery_detected,True,False,0,222,1,28,,,,,,,,,,,,,,,,
Random Search,20260607,19,4,6,rs_r19_004_tl1_dt130_ge26_qr57_tau86,1,130,26,0.57,0.86,289.92,86.95,271.47,90.34,0.00,PASS,,recovery_detected,True,False,0,1253,0,43,,,,,,,,,,,,,,,,
Random Search,20260607,19,5,6,rs_r19_005_tl42_dt107_ge42_qr87_tau75,42,107,42,0.87,0.75,207.92,80.20,196.31,90.34,0.00,PASS,,recovery_detected,True,False,0,199,0,29,,,,,,,,,,,,,,,,
Random Search,20260607,19,6,6,rs_r19_006_tl86_dt198_ge13_qr68_tau89,86,198,13,0.68,0.89,274.92,91.92,258.28,90.34,0.00,PASS,,recovery_detected,True,False,0,391,0,60,,,,,,,,,,,,,,,,
Random Search,20260607,20,1,6,rs_r20_001_tl30_dt123_ge23_qr79_tau74,30,123,23,0.79,0.74,189.92,75.89,179.55,90.34,0.00,PASS,,recovery_detected,True,False,0,359,0,37,,,,,,,,,,,,,,,,
