method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
Random Search,20260607,1,1,6,rs_r01_001_tl48_dt220_ge9_qr22_tau77,48,220,9,0.22,0.77,290.92,453.97,305.74,305.74,0.00,PASS,,recovery_detected,True,False,0,418,1,66,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,1,2,6,rs_r01_002_tl30_dt8_ge26_qr51_tau79,30,8,26,0.51,0.79,315.92,445.16,327.67,305.74,0.00,PASS,,recovery_detected,True,False,0,4829,1,16,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,1,3,6,rs_r01_003_tl91_dt34_ge11_qr77_tau83,91,34,11,0.77,0.83,0.00,497.27,1000045.21,305.74,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2807,1,33,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,1,4,6,rs_r01_004_tl35_dt116_ge30_qr80_tau87,35,116,30,0.8,0.87,400.92,436.37,404.14,305.74,0.00,PASS,,recovery_detected,True,False,0,350,1,45,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,1,5,6,rs_r01_005_tl12_dt198_ge7_qr84_tau73,12,198,7,0.84,0.73,412.92,426.08,414.12,305.74,0.00,PASS,,recovery_detected,True,False,0,1401,1,88,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,1,6,6,rs_r01_006_tl73_dt146_ge44_qr8_tau88,73,146,44,0.08,0.88,0.00,487.23,1000044.29,305.74,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,195,1,26,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,2,1,6,rs_r02_001_tl2_dt118_ge23_qr30_tau73,2,118,23,0.3,0.73,466.92,428.87,463.46,305.74,0.00,PASS,,recovery_detected,True,False,0,1286,1,57,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,2,2,6,rs_r02_002_tl74_dt148_ge45_qr38_tau73,74,148,45,0.38,0.73,0.00,486.66,1000044.24,305.74,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,201,1,26,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,2,3,6,rs_r02_003_tl38_dt33_ge24_qr83_tau90,38,33,24,0.83,0.9,0.00,494.49,1000044.95,305.74,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2917,1,25,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,2,4,6,rs_r02_004_tl69_dt6_ge17_qr95_tau85,69,6,17,0.95,0.85,315.92,443.96,327.56,305.74,0.00,PASS,,recovery_detected,True,False,0,4894,0,15,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,2,5,6,rs_r02_005_tl80_dt178_ge2_qr49_tau75,80,178,2,0.49,0.75,441.92,426.72,440.54,305.74,0.00,PASS,,recovery_detected,True,False,0,1121,1,117,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,2,6,6,rs_r02_006_tl82_dt158_ge16_qr6_tau78,82,158,16,0.06,0.78,395.92,437.68,399.72,305.74,0.00,PASS,,recovery_detected,True,False,0,579,1,65,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,3,1,6,rs_r03_001_tl41_dt37_ge24_qr52_tau88,41,37,24,0.52,0.88,0.00,495.45,1000045.04,305.74,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2109,1,26,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,3,2,6,rs_r03_002_tl6_dt59_ge9_qr74_tau71,6,59,9,0.74,0.71,0.00,494.81,1000044.98,305.74,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,1674,1,47,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,3,3,6,rs_r03_003_tl44_dt129_ge49_qr48_tau77,44,129,49,0.48,0.77,542.92,297.02,520.57,305.74,0.00,PASS,,recovery_timeout,True,False,0,315,1,40,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,3,4,6,rs_r03_004_tl83_dt83_ge12_qr55_tau89,83,83,12,0.55,0.89,323.92,451.12,335.48,305.74,0.00,PASS,,recovery_detected,True,False,0,617,1,64,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,3,5,6,rs_r03_005_tl24_dt204_ge7_qr96_tau84,24,204,7,0.96,0.84,282.92,451.05,298.20,298.20,0.00,PASS,,recovery_detected,True,False,0,680,0,72,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,3,6,6,rs_r03_006_tl100_dt73_ge16_qr56_tau88,100,73,16,0.56,0.88,0.00,488.64,1000044.42,298.20,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,614,1,42,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,4,1,6,rs_r04_001_tl79_dt73_ge27_qr72_tau76,79,73,27,0.72,0.76,0.00,467.62,1000042.51,298.20,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,639,1,40,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,4,2,6,rs_r04_002_tl49_dt80_ge2_qr65_tau75,49,80,2,0.65,0.75,272.92,459.57,289.89,289.89,0.00,PASS,,recovery_detected,True,False,0,849,1,86,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,4,3,6,rs_r04_003_tl102_dt25_ge35_qr32_tau88,102,25,35,0.32,0.88,0.00,501.86,1000045.62,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2511,1,15,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,4,4,6,rs_r04_004_tl60_dt138_ge9_qr43_tau72,60,138,9,0.43,0.72,336.92,440.72,346.36,289.89,0.00,PASS,,recovery_detected,True,False,0,632,1,75,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,4,5,6,rs_r04_005_tl109_dt176_ge0_qr10_tau89,109,176,0,0.1,0.89,348.92,435.24,356.77,289.89,0.00,PASS,,recovery_detected,True,False,0,905,1,116,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,4,6,6,rs_r04_006_tl106_dt160_ge15_qr11_tau84,106,160,15,0.11,0.84,293.92,435.42,306.78,289.89,0.00,PASS,,recovery_detected,True,False,0,450,1,52,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,5,1,6,rs_r05_001_tl39_dt184_ge5_qr22_tau85,39,184,5,0.22,0.85,377.92,431.42,382.78,289.89,0.00,PASS,,recovery_detected,True,False,0,973,1,95,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,5,2,6,rs_r05_002_tl87_dt127_ge33_qr6_tau90,87,127,33,0.06,0.9,539.92,305.26,518.59,289.89,0.00,PASS,,recovery_timeout,True,False,0,625,1,49,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,5,3,6,rs_r05_003_tl66_dt53_ge25_qr53_tau77,66,53,25,0.53,0.77,0.00,495.92,1000045.08,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,1197,1,30,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,5,4,6,rs_r05_004_tl40_dt23_ge49_qr52_tau88,40,23,49,0.52,0.88,0.00,500.78,1000045.53,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2619,1,14,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,5,5,6,rs_r05_005_tl78_dt45_ge22_qr67_tau81,78,45,22,0.67,0.81,0.00,493.01,1000044.82,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,1289,1,31,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,5,6,6,rs_r05_006_tl96_dt171_ge0_qr4_tau85,96,171,0,0.04,0.85,318.92,452.44,331.06,289.89,0.00,PASS,,recovery_detected,True,False,0,873,1,111,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,6,1,6,rs_r06_001_tl96_dt116_ge41_qr5_tau80,96,116,41,0.05,0.8,0.00,489.23,1000044.48,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,230,1,27,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,6,2,6,rs_r06_002_tl82_dt34_ge42_qr63_tau77,82,34,42,0.63,0.77,0.00,499.91,1000045.45,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2348,1,16,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,6,3,6,rs_r06_003_tl17_dt11_ge46_qr1_tau87,17,11,46,0.01,0.87,0.00,494.04,1000044.91,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,4421,1,9,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,6,4,6,rs_r06_004_tl56_dt82_ge28_qr8_tau76,56,82,28,0.08,0.76,500.92,309.91,483.56,289.89,0.00,PASS,,recovery_timeout,True,False,0,524,1,55,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,6,5,6,rs_r06_005_tl2_dt59_ge20_qr70_tau89,2,59,20,0.7,0.89,0.00,500.52,1000045.50,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,1174,1,31,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,6,6,6,rs_r06_006_tl14_dt2_ge15_qr10_tau83,14,2,15,0.1,0.83,363.92,441.51,370.97,289.89,0.00,PASS,,recovery_detected,True,False,0,5159,1,15,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,7,1,6,rs_r07_001_tl17_dt197_ge6_qr50_tau76,17,197,6,0.5,0.76,0.00,487.81,1000044.35,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,921,1,64,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,7,2,6,rs_r07_002_tl72_dt170_ge29_qr81_tau73,72,170,29,0.81,0.73,486.92,313.22,471.13,289.89,0.00,PASS,,recovery_timeout,True,False,0,461,1,51,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,7,3,6,rs_r07_003_tl53_dt176_ge2_qr69_tau85,53,176,2,0.69,0.85,325.92,433.11,335.66,289.89,0.00,PASS,,recovery_detected,True,False,0,812,1,97,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,7,4,6,rs_r07_004_tl54_dt30_ge31_qr64_tau75,54,30,31,0.64,0.75,0.00,499.81,1000045.44,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2708,1,20,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,7,5,6,rs_r07_005_tl18_dt186_ge15_qr19_tau90,18,186,15,0.19,0.9,471.92,299.55,456.25,289.89,0.00,PASS,,recovery_timeout,True,False,0,707,1,74,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,7,6,6,rs_r07_006_tl26_dt51_ge28_qr94_tau90,26,51,28,0.94,0.9,0.00,472.05,1000042.91,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,1223,0,33,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,8,1,6,rs_r08_001_tl62_dt173_ge48_qr37_tau83,62,173,48,0.37,0.83,338.92,442.93,348.37,289.89,0.00,PASS,,recovery_detected,True,False,0,263,1,33,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,8,2,6,rs_r08_002_tl74_dt50_ge33_qr41_tau84,74,50,33,0.41,0.84,0.00,487.84,1000044.35,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,991,1,28,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,8,3,6,rs_r08_003_tl40_dt196_ge41_qr62_tau90,40,196,41,0.62,0.9,411.92,334.60,404.89,289.89,0.00,PASS,,recovery_timeout,True,False,0,287,1,40,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,8,4,6,rs_r08_004_tl17_dt175_ge1_qr59_tau73,17,175,1,0.59,0.73,440.92,424.45,439.42,289.89,0.00,PASS,,recovery_detected,True,False,0,1626,1,125,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,8,5,6,rs_r08_005_tl112_dt120_ge23_qr75_tau84,112,120,23,0.75,0.84,505.92,312.16,488.31,289.89,0.00,PASS,,recovery_timeout,True,False,0,542,1,61,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,8,6,6,rs_r08_006_tl44_dt60_ge29_qr71_tau80,44,60,29,0.71,0.8,0.00,501.08,1000045.55,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,741,1,27,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,9,1,6,rs_r09_001_tl20_dt170_ge27_qr89_tau89,20,170,27,0.89,0.89,495.92,306.59,478.71,289.89,0.00,PASS,,recovery_timeout,True,False,0,664,1,54,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,9,2,6,rs_r09_002_tl101_dt218_ge21_qr81_tau83,101,218,21,0.81,0.83,672.92,286.11,637.76,289.89,0.00,PASS,,recovery_timeout,True,False,0,676,1,76,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,9,3,6,rs_r09_003_tl44_dt220_ge32_qr47_tau80,44,220,32,0.47,0.8,544.92,304.58,523.07,289.89,0.00,PASS,,recovery_timeout,True,False,0,389,1,51,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,9,4,6,rs_r09_004_tl110_dt11_ge15_qr62_tau71,110,11,15,0.62,0.71,380.92,436.17,385.94,289.89,0.00,PASS,,recovery_detected,True,False,0,5292,1,23,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,9,5,6,rs_r09_005_tl81_dt98_ge32_qr8_tau78,81,98,32,0.08,0.78,588.92,297.02,562.38,289.89,0.00,PASS,,recovery_timeout,True,False,0,550,1,56,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,9,6,6,rs_r09_006_tl78_dt31_ge27_qr96_tau71,78,31,27,0.96,0.71,0.00,494.94,1000044.99,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2787,0,22,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,10,1,6,rs_r10_001_tl27_dt56_ge2_qr52_tau87,27,56,2,0.52,0.87,0.00,487.39,1000044.31,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,1373,1,72,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,10,2,6,rs_r10_002_tl32_dt39_ge7_qr70_tau74,32,39,7,0.7,0.74,0.00,500.78,1000045.53,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2255,1,39,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,10,3,6,rs_r10_003_tl38_dt207_ge10_qr72_tau70,38,207,10,0.72,0.7,334.92,449.20,345.31,289.89,0.00,PASS,,recovery_detected,True,False,0,581,1,72,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,10,4,6,rs_r10_004_tl50_dt113_ge21_qr41_tau71,50,113,21,0.41,0.71,660.92,292.25,627.40,289.89,0.00,PASS,,recovery_timeout,True,False,0,774,1,78,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,10,5,6,rs_r10_005_tl95_dt93_ge32_qr51_tau74,95,93,32,0.51,0.74,588.92,297.02,562.38,289.89,0.00,PASS,,recovery_timeout,True,False,0,548,1,56,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,10,6,6,rs_r10_006_tl105_dt59_ge46_qr65_tau72,105,59,46,0.65,0.72,670.92,294.64,636.71,289.89,0.00,PASS,,recovery_timeout,True,False,0,896,1,50,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,11,1,6,rs_r11_001_tl35_dt153_ge5_qr49_tau89,35,153,5,0.49,0.89,406.92,435.47,409.52,289.89,0.00,PASS,,recovery_detected,True,False,0,972,1,97,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,11,2,6,rs_r11_002_tl110_dt123_ge0_qr79_tau70,110,123,0,0.79,0.7,327.92,449.01,338.93,289.89,0.00,PASS,,recovery_detected,True,False,0,953,1,113,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,11,3,6,rs_r11_003_tl85_dt174_ge28_qr92_tau72,85,174,28,0.92,0.72,441.92,429.03,440.75,289.89,0.00,PASS,,recovery_detected,True,False,0,382,0,52,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,11,4,6,rs_r11_004_tl75_dt191_ge47_qr65_tau73,75,191,47,0.65,0.73,276.92,458.96,293.47,289.89,0.00,PASS,,recovery_detected,True,False,0,319,1,28,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,11,5,6,rs_r11_005_tl2_dt162_ge10_qr47_tau87,2,162,10,0.47,0.87,437.92,429.04,437.11,289.89,0.00,PASS,,recovery_detected,True,False,0,1602,1,82,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,11,6,6,rs_r11_006_tl32_dt105_ge7_qr52_tau74,32,105,7,0.52,0.74,273.92,451.73,290.08,289.89,0.00,PASS,,recovery_detected,True,False,0,840,1,67,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,12,1,6,rs_r12_001_tl42_dt91_ge3_qr49_tau76,42,91,3,0.49,0.76,301.92,451.45,315.51,289.89,0.00,PASS,,recovery_detected,True,False,0,849,1,84,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,12,2,6,rs_r12_002_tl100_dt162_ge46_qr96_tau79,100,162,46,0.96,0.79,0.00,470.28,1000042.75,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,154,0,28,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,12,3,6,rs_r12_003_tl17_dt102_ge29_qr2_tau80,17,102,29,0.02,0.8,445.92,428.40,444.33,289.89,0.00,PASS,,recovery_detected,True,False,0,620,1,51,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,12,4,6,rs_r12_004_tl32_dt26_ge25_qr79_tau80,32,26,25,0.79,0.8,0.00,499.75,1000045.43,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2761,1,21,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,12,5,6,rs_r12_005_tl2_dt3_ge37_qr91_tau89,2,3,37,0.91,0.89,412.92,345.74,406.81,289.89,0.00,PASS,,recovery_timeout,True,False,0,5644,0,16,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,12,6,6,rs_r12_006_tl81_dt21_ge15_qr81_tau83,81,21,15,0.81,0.83,0.00,500.26,1000045.48,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2894,1,25,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,13,1,6,rs_r13_001_tl90_dt135_ge4_qr70_tau79,90,135,4,0.7,0.79,336.92,442.06,346.48,289.89,0.00,PASS,,recovery_detected,True,False,0,757,1,93,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,13,2,6,rs_r13_002_tl37_dt164_ge40_qr48_tau90,37,164,40,0.48,0.9,328.92,438.94,338.92,289.89,0.00,PASS,,recovery_detected,True,False,0,221,1,33,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,13,3,6,rs_r13_003_tl94_dt122_ge31_qr97_tau80,94,122,31,0.97,0.8,456.92,326.18,445.03,289.89,0.00,PASS,,recovery_timeout,True,False,0,324,0,50,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,13,4,6,rs_r13_004_tl33_dt187_ge35_qr36_tau73,33,187,35,0.36,0.73,517.92,306.00,498.65,289.89,0.00,PASS,,recovery_timeout,True,False,0,428,1,51,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,13,5,6,rs_r13_005_tl17_dt122_ge31_qr100_tau84,17,122,31,1.0,0.84,475.92,313.39,461.14,289.89,0.00,PASS,,recovery_timeout,True,False,0,586,0,52,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,13,6,6,rs_r13_006_tl78_dt51_ge41_qr69_tau83,78,51,41,0.69,0.83,0.00,498.26,1000045.30,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,1144,1,20,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,14,1,6,rs_r14_001_tl32_dt9_ge43_qr38_tau84,32,9,43,0.38,0.84,313.92,443.15,325.67,289.89,0.00,PASS,,recovery_detected,True,False,0,4609,1,17,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,14,2,6,rs_r14_002_tl109_dt155_ge2_qr93_tau72,109,155,2,0.93,0.72,321.92,446.97,333.29,289.89,0.00,PASS,,recovery_detected,True,False,0,864,0,94,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,14,3,6,rs_r14_003_tl10_dt215_ge18_qr12_tau75,10,215,18,0.12,0.75,412.92,433.68,414.81,289.89,0.00,PASS,,recovery_detected,True,False,0,987,1,61,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,14,4,6,rs_r14_004_tl62_dt206_ge23_qr72_tau72,62,206,23,0.72,0.72,547.92,304.97,525.83,289.89,0.00,PASS,,recovery_timeout,True,False,0,581,1,66,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,14,5,6,rs_r14_005_tl27_dt202_ge9_qr96_tau77,27,202,9,0.96,0.77,426.92,432.37,427.42,289.89,0.00,PASS,,recovery_detected,True,False,0,874,0,82,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,14,6,6,rs_r14_006_tl2_dt54_ge9_qr9_tau86,2,54,9,0.09,0.86,0.00,493.38,1000044.85,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,1876,1,45,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,15,1,6,rs_r15_001_tl96_dt176_ge11_qr20_tau72,96,176,11,0.2,0.72,371.92,442.12,378.30,289.89,0.00,PASS,,recovery_detected,True,False,0,601,1,73,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,15,2,6,rs_r15_002_tl105_dt44_ge34_qr97_tau72,105,44,34,0.97,0.72,0.00,488.89,1000044.44,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,1728,0,26,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,15,3,6,rs_r15_003_tl110_dt106_ge45_qr45_tau75,110,106,45,0.45,0.75,589.92,298.83,563.46,289.89,0.00,PASS,,recovery_timeout,True,False,0,430,1,46,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,15,4,6,rs_r15_004_tl60_dt214_ge18_qr48_tau87,60,214,18,0.48,0.87,0.00,491.76,1000044.71,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,263,1,43,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,15,5,6,rs_r15_005_tl53_dt219_ge13_qr38_tau86,53,219,13,0.38,0.86,434.92,430.33,434.50,289.89,0.00,PASS,,recovery_detected,True,False,0,654,1,70,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,15,6,6,rs_r15_006_tl39_dt152_ge48_qr91_tau85,39,152,48,0.91,0.85,0.00,496.32,1000045.12,289.89,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,199,0,22,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,16,1,6,rs_r16_001_tl104_dt200_ge33_qr49_tau72,104,200,33,0.49,0.72,486.92,428.06,481.57,289.89,0.00,PASS,,recovery_detected,True,False,0,451,1,46,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,16,2,6,rs_r16_002_tl35_dt190_ge2_qr74_tau87,35,190,2,0.74,0.87,241.92,460.66,261.81,261.81,0.00,PASS,,recovery_detected,True,False,0,953,1,80,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,16,3,6,rs_r16_003_tl37_dt105_ge47_qr11_tau70,37,105,47,0.11,0.7,0.00,496.03,1000045.09,261.81,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,198,1,23,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,16,4,6,rs_r16_004_tl46_dt57_ge41_qr64_tau73,46,57,41,0.64,0.73,0.00,499.96,1000045.45,261.81,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,651,1,22,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,16,5,6,rs_r16_005_tl52_dt157_ge4_qr3_tau81,52,157,4,0.03,0.81,352.92,435.82,360.46,261.81,0.00,PASS,,recovery_detected,True,False,0,825,1,93,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,16,6,6,rs_r16_006_tl57_dt50_ge1_qr9_tau83,57,50,1,0.09,0.83,0.00,501.96,1000045.63,261.81,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,1566,1,63,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,17,1,6,rs_r17_001_tl65_dt219_ge3_qr90_tau76,65,219,3,0.9,0.76,382.92,433.14,387.49,261.81,0.00,PASS,,recovery_detected,True,False,0,1006,1,100,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,17,2,6,rs_r17_002_tl17_dt48_ge49_qr42_tau82,17,48,49,0.42,0.82,0.00,503.89,1000045.81,261.81,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,1036,1,19,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,17,3,6,rs_r17_003_tl96_dt120_ge44_qr1_tau70,96,120,44,0.01,0.7,0.00,487.23,1000044.29,261.81,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,195,1,26,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,17,4,6,rs_r17_004_tl36_dt40_ge9_qr69_tau89,36,40,9,0.69,0.89,0.00,500.49,1000045.50,261.81,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,2136,1,37,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,17,5,6,rs_r17_005_tl31_dt79_ge6_qr54_tau70,31,79,6,0.54,0.7,447.92,315.24,435.86,261.81,0.00,PASS,,recovery_timeout,True,False,0,1382,1,98,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,17,6,6,rs_r17_006_tl102_dt61_ge43_qr79_tau86,102,61,43,0.79,0.86,0.00,501.52,1000045.59,261.81,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,443,1,21,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,18,1,6,rs_r18_001_tl69_dt186_ge22_qr9_tau86,69,186,22,0.09,0.86,0.00,485.10,1000044.10,261.81,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,339,1,38,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,18,2,6,rs_r18_002_tl85_dt106_ge9_qr33_tau88,85,106,9,0.33,0.88,332.92,445.63,343.17,261.81,0.00,PASS,,recovery_detected,True,False,0,756,1,73,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,18,3,6,rs_r18_003_tl61_dt172_ge23_qr49_tau81,61,172,23,0.49,0.81,541.92,306.93,520.56,261.81,0.00,PASS,,recovery_timeout,True,False,0,649,1,66,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,18,4,6,rs_r18_004_tl66_dt7_ge29_qr82_tau80,66,7,29,0.82,0.8,316.92,444.52,328.52,261.81,0.00,PASS,,recovery_detected,True,False,0,4852,1,16,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,18,5,6,rs_r18_005_tl56_dt99_ge47_qr11_tau70,56,99,47,0.11,0.7,506.92,301.51,488.25,261.81,0.00,PASS,,recovery_timeout,True,False,0,331,1,41,,,,,,,,,,,,,,,,,,,,
Random Search,20260607,18,6,6,rs_r18_006_tl1_dt130_ge26_qr57_tau86,1,130,26,0.57,0.86,0.00,495.51,1000045.05,261.81,1000000.00,FAIL,emergency_stuck,emergency_stuck,False,False,0,882,1,32,,,,,,,,,,,,,,,,,,,,
